nohup: ignoring input
2024-06-28 04:58:59.029773: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-06-28 04:59:00.200368: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
/home/chiara/DataAUG/Generation_GAN/main.py:62: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at ../torch/csrc/tensor/python_tensor.cpp:78.)
  valid = Variable(Tensor(imgs.shape[0], 1).fill_(1.0), requires_grad=False)
/home/chiara/anaconda3/envs/MGS/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at ../aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
netbios_ssn2
[Epoch 8/500] [Batch 5/7] [D loss: 0.005072] [G loss: 7.139809]
[Epoch 8/500] [Batch 6/7] [D loss: 0.004975] [G loss: 6.904913]
[Epoch 9/500] [Batch 0/7] [D loss: 0.005269] [G loss: 7.100544]
[Epoch 9/500] [Batch 1/7] [D loss: 0.007265] [G loss: 5.713075]
[Epoch 9/500] [Batch 2/7] [D loss: 0.007332] [G loss: 6.500520]
[Epoch 9/500] [Batch 3/7] [D loss: 0.004548] [G loss: 7.458058]
[Epoch 9/500] [Batch 4/7] [D loss: 0.005483] [G loss: 6.763079]
[Epoch 9/500] [Batch 5/7] [D loss: 0.004445] [G loss: 7.392254]
[Epoch 9/500] [Batch 6/7] [D loss: 0.005188] [G loss: 7.500797]
[Epoch 10/500] [Batch 0/7] [D loss: 0.003382] [G loss: 8.510750]
[Epoch 10/500] [Batch 1/7] [D loss: 0.006235] [G loss: 6.402424]
[Epoch 10/500] [Batch 2/7] [D loss: 0.003815] [G loss: 7.157001]
[Epoch 10/500] [Batch 3/7] [D loss: 0.004437] [G loss: 7.296114]
[Epoch 10/500] [Batch 4/7] [D loss: 0.003185] [G loss: 7.853127]
[Epoch 10/500] [Batch 5/7] [D loss: 0.003661] [G loss: 7.016625]
[Epoch 10/500] [Batch 6/7] [D loss: 0.003126] [G loss: 7.412934]
[Epoch 11/500] [Batch 0/7] [D loss: 0.003724] [G loss: 7.542239]
[Epoch 11/500] [Batch 1/7] [D loss: 0.004099] [G loss: 6.462423]
[Epoch 11/500] [Batch 2/7] [D loss: 0.004327] [G loss: 6.730180]
[Epoch 11/500] [Batch 3/7] [D loss: 0.003243] [G loss: 7.240599]
[Epoch 11/500] [Batch 4/7] [D loss: 0.004130] [G loss: 7.303700]
[Epoch 11/500] [Batch 5/7] [D loss: 0.002681] [G loss: 7.741460]
[Epoch 11/500] [Batch 6/7] [D loss: 0.004518] [G loss: 8.057755]
[Epoch 12/500] [Batch 0/7] [D loss: 0.002300] [G loss: 9.244077]
[Epoch 12/500] [Batch 1/7] [D loss: 0.003007] [G loss: 7.471732]
[Epoch 12/500] [Batch 2/7] [D loss: 0.002549] [G loss: 7.410710]
[Epoch 12/500] [Batch 3/7] [D loss: 0.002694] [G loss: 7.668551]
[Epoch 12/500] [Batch 4/7] [D loss: 0.002604] [G loss: 7.909492]
[Epoch 12/500] [Batch 5/7] [D loss: 0.002029] [G loss: 8.105493]
[Epoch 12/500] [Batch 6/7] [D loss: 0.001797] [G loss: 8.101431]
[Epoch 13/500] [Batch 0/7] [D loss: 0.001928] [G loss: 8.184124]
[Epoch 13/500] [Batch 1/7] [D loss: 0.004752] [G loss: 7.176859]
[Epoch 13/500] [Batch 2/7] [D loss: 0.002068] [G loss: 7.868491]
[Epoch 13/500] [Batch 3/7] [D loss: 0.002401] [G loss: 7.699396]
[Epoch 13/500] [Batch 4/7] [D loss: 0.002025] [G loss: 7.517571]
[Epoch 13/500] [Batch 5/7] [D loss: 0.002385] [G loss: 7.351009]
[Epoch 13/500] [Batch 6/7] [D loss: 0.002289] [G loss: 7.696638]
[Epoch 14/500] [Batch 0/7] [D loss: 0.001782] [G loss: 8.339952]
[Epoch 14/500] [Batch 1/7] [D loss: 0.002209] [G loss: 7.369617]
[Epoch 14/500] [Batch 2/7] [D loss: 0.002115] [G loss: 7.674249]
[Epoch 14/500] [Batch 3/7] [D loss: 0.002105] [G loss: 7.515100]
[Epoch 14/500] [Batch 4/7] [D loss: 0.002225] [G loss: 7.658808]
[Epoch 14/500] [Batch 5/7] [D loss: 0.001801] [G loss: 7.786370]
[Epoch 14/500] [Batch 6/7] [D loss: 0.001968] [G loss: 7.671887]
[Epoch 15/500] [Batch 0/7] [D loss: 0.001623] [G loss: 8.327033]
[Epoch 15/500] [Batch 1/7] [D loss: 0.002630] [G loss: 7.317143]
[Epoch 15/500] [Batch 2/7] [D loss: 0.002007] [G loss: 7.547923]
[Epoch 15/500] [Batch 3/7] [D loss: 0.002057] [G loss: 7.710146]
[Epoch 15/500] [Batch 4/7] [D loss: 0.001767] [G loss: 7.763413]
[Epoch 15/500] [Batch 5/7] [D loss: 0.001583] [G loss: 7.986035]
[Epoch 15/500] [Batch 6/7] [D loss: 0.001768] [G loss: 8.085128]
[Epoch 16/500] [Batch 0/7] [D loss: 0.001342] [G loss: 8.612729]
[Epoch 16/500] [Batch 1/7] [D loss: 0.001564] [G loss: 7.739037]
[Epoch 16/500] [Batch 2/7] [D loss: 0.001786] [G loss: 7.832403]
[Epoch 16/500] [Batch 3/7] [D loss: 0.001388] [G loss: 8.061291]
[Epoch 16/500] [Batch 4/7] [D loss: 0.001472] [G loss: 8.008883]
[Epoch 16/500] [Batch 5/7] [D loss: 0.001250] [G loss: 8.123772]
[Epoch 16/500] [Batch 6/7] [D loss: 0.001209] [G loss: 8.344769]
[Epoch 17/500] [Batch 0/7] [D loss: 0.000987] [G loss: 8.717009]
[Epoch 17/500] [Batch 1/7] [D loss: 0.001388] [G loss: 7.919168]
[Epoch 17/500] [Batch 2/7] [D loss: 0.001295] [G loss: 7.835309]
