Model,Class_0_FP,Class_1_FP,Class_2_FP,Class_3_FP,Class_4_FP,Class_5_FP,Class_6_FP,Class_7_FP
16_with_dropout_30DIFF.pth,1,5,0,537,1,8,34,9
16_with_dropout_50GAN.pth,8,13,0,538,1,7,37,10
16_with_dropout_20DIFF_ch.pth,21,11,0,535,1,5,17,24
16_with_dropout_50DIFF.pth,19,8,0,537,1,12,97,11
16_with_dropout_80DIFF.pth,102,12,0,481,127,27,30,58
16_with_dropout_80GAN.pth,162,36,3,285,217,18,72,36
16_with_dropout.pth,2,5,0,537,1,1,10,12
16_with_dropout05_20GAN.pth,11,9,0,537,1,7,78,12
16_with_dropout05_30GAN.pth,33,9,0,536,1,3,36,13
